@relation s1

@attribute AccX_mean numeric
@attribute AccX_variance numeric
@attribute AccY_mean numeric
@attribute AccY_variance numeric
@attribute AccZ_mean numeric
@attribute AccZ_variance numeric
@attribute GyrX_mean numeric
@attribute GyrX_variance numeric
@attribute GyrY_mean numeric
@attribute GyrY_variance numeric
@attribute GyrZ_mean numeric
@attribute GyrZ_variance numeric
@attribute class {bike,downstairs,lie,run,sit,stand,upstairs,walk}

@data
520.171875,364.454834,514.195313,82.547791,502.03125,1198.514648,524.914063,421.281677,510.515625,220.077881,1,0,downstairs
517.929688,317.159119,513.25,76.46875,509.242188,1096.261658,525.554688,467.528259,510.421875,194.478271,1,0,downstairs
512.867188,486.693298,515.882813,86.11908,521.851563,775.173279,528.132813,485.662048,513.03125,187.624023,1.609375,1.456787,downstairs
496.960938,451.975037,521.757813,53.292908,523.601563,322.41156,528.984375,243.671631,515.28125,111.280273,3.109375,1.878662,downstairs
485.023438,13.272888,524.898438,1.450623,517.9375,1.167969,527.710938,37.37738,515.203125,97.255615,4,0,sit
485.304688,24.961853,523.992188,1.804626,517.875,1.078125,526.65625,17.100586,514.945313,102.926697,4,0,sit
485.445313,24.075134,523.265625,0.695068,518.117188,0.665955,526.179688,3.24115,516.296875,134.77124,4,0,sit
485.320313,18.311462,523.445313,1.059509,518.242188,0.917908,526.070313,1.034119,517.640625,166.62085,4,0,sit
485.296875,14.099365,523.789063,9.853943,518.304688,1.039978,526.109375,0.941162,517.742188,161.05072,4,0,sit
484.835938,4.621521,523.921875,9.743896,518.265625,0.851318,526.078125,0.837646,518.1875,157.964844,4,0,sit
484.523438,0.952576,523.679688,1.092712,518.1875,0.886719,526.117188,0.978455,517.679688,121.889587,4,0,sit
484.382813,0.923767,523.710938,1.81488,518.257813,0.76947,526.234375,0.960693,516.8125,73.527344,4,0,sit
484.476563,1.311951,524.664063,21.066833,518.265625,0.741943,526.140625,0.980225,515.859375,39.2146,4,0,sit
484.09375,1.772461,525.351563,26.743591,518.179688,1.7724,526.453125,3.122803,514.382813,16.236267,4,0,sit
483.398438,1.56781,525.484375,28.702881,518.625,25.640625,525.945313,8.942322,513.015625,3.265381,4,0,sit
483.421875,2.212646,524.523438,28.983826,518.75,26.328125,525.914063,10.172302,512.6875,1.511719,4,0,sit
483.710938,1.65863,523.875,11.15625,518.648438,15.962341,526.679688,5.014587,512.75,1.421875,4,0,sit
483.851563,1.251404,524.359375,5.9646,518.601563,14.94281,526.546875,2.310303,512.789063,1.213318,4,0,sit
483.632813,0.966736,524.265625,1.835693,518.273438,1.167419,526.414063,1.242615,512.851563,0.782654,4,0,sit
483.648438,0.852966,524.007813,0.570251,518.648438,16.509216,525.976563,0.679138,512.640625,0.386475,4,0,sit
483.929688,1.268494,523.679688,0.827087,518.617188,16.861267,526.0625,1.246094,512.757813,0.667908,4,0,sit
483.96875,2.045898,523.851563,1.313904,518.703125,19.380615,526.320313,1.936462,513.0625,1.074219,4,0,sit
483.757813,1.839783,524.109375,1.425537,518.875,19.234375,526.507813,2.312439,512.960938,0.959412,4,0,sit
